afc_id	class	pathway	superclass
AFC000012	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000013	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000014	Fatty acyl CoAs	Fatty acids	Fatty esters
AFC000015	Aminoacids;Dipeptides	Amino acids and Peptides	Small peptides
AFC000016	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Small peptides;Fatty Acids and Conjugates
AFC000017	Polyamines	Alkaloids	Ornithine alkaloids
AFC000019	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000020	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Small peptides;Fatty Acids and Conjugates
AFC000024	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000026	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000027	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000028	Aminoacids	Amino acids and Peptides	Small peptides
AFC000029	Monosaccharides	Carbohydrates	Saccharides
AFC000030	Alkaloids	Nicotinic acid alkaloids
AFC000031
AFC000034	Aminoacids	Amino acids and Peptides	Small peptides
AFC000036	Aminoacids	Amino acids and Peptides	Small peptides
AFC000037	Aminoacids	Amino acids and Peptides	Small peptides
AFC000038	Aminoacids	Amino acids and Peptides	Small peptides
AFC000039	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000040	Chalcones	Shikimates and Phenylpropanoids	Flavonoids
AFC000041	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000047	Acetate-derived alkaloids;Polyamines	Alkaloids	Ornithine alkaloids;Pseudoalkaloids (transamidation)
AFC000049	Aminoacids	Amino acids and Peptides	Small peptides
AFC000054	Shikimates and Phenylpropanoids
AFC000056	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000058	Alkaloids
AFC000059	Simple coumarins	Shikimates and Phenylpropanoids	Coumarins
AFC000060	Gallotannins;Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000061	Branched fatty acids;Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000062	Aminoacids	Amino acids and Peptides	Small peptides
AFC000063	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000065	Thia fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000067	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000069	Aminoacids	Amino acids and Peptides	Small peptides
AFC000070	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000071	Polyamines	Alkaloids	Ornithine alkaloids
AFC000072	Aminoacids	Amino acids and Peptides	Small peptides
AFC000073	Polyamines	Alkaloids	Ornithine alkaloids
AFC000074	Dicarboxylic acids;Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000076
AFC000077	Aminoacids	Amino acids and Peptides	Small peptides
AFC000078
AFC000079	Aminoacids	Amino acids and Peptides	Small peptides
AFC000080	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000081	Aminoacids	Amino acids and Peptides	Small peptides
AFC000082	Aminoacids	Amino acids and Peptides	Small peptides
AFC000083	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Fatty Acids and Conjugates;Small peptides
AFC000084	Imidazole alkaloids	Alkaloids	Histidine alkaloids
AFC000085
AFC000086	Alkaloids
AFC000087	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000088	Fatty acids
AFC000089	Primary amides	Fatty acids	Fatty amides
AFC000090	Monosaccharides	Carbohydrates	Saccharides
AFC000091	Polyketides
AFC000092	Phenylethylamines	Alkaloids	Tyrosine alkaloids
AFC000098	Monosaccharides	Carbohydrates;Fatty acids	Saccharides
AFC000104	Imidazole alkaloids	Alkaloids	Histidine alkaloids
AFC000105	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000106	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000109	Imidazole alkaloids	Alkaloids	Histidine alkaloids
AFC000110	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Fatty Acids and Conjugates;Small peptides
AFC000111	Imidazole alkaloids	Alkaloids	Histidine alkaloids
AFC000112	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000113	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000114	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000115	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000116	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000117	Aminoacids	Amino acids and Peptides	Small peptides
AFC000118	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Small peptides;Fatty Acids and Conjugates
AFC000119	Primary amides	Fatty acids	Fatty amides
AFC000120	Aminoacids	Amino acids and Peptides	Small peptides
AFC000121	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000122	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000123	Aminoacids	Amino acids and Peptides	Small peptides
AFC000128	Cyclitols	Carbohydrates	Polyols
AFC000129	Polyamines	Alkaloids	Ornithine alkaloids
AFC000131	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000132	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000133	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000134	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000139
AFC000141	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000142	Fatty alcohols	Fatty acids	Fatty acyls
AFC000145	Monosaccharides	Carbohydrates	Saccharides
AFC000146	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000147	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000148	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000150	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000151	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000152	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000153
AFC000155	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000157
AFC000158	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000159
AFC000161	Acetate-derived alkaloids;Polyamines	Alkaloids	Ornithine alkaloids;Pseudoalkaloids (transamidation)
AFC000162	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000163	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000164	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000165	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000166	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000167	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000168	Imidazole alkaloids	Alkaloids	Histidine alkaloids
AFC000172	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000174	Aminoacids	Amino acids and Peptides	Small peptides
AFC000176	Polyamines	Alkaloids	Ornithine alkaloids
AFC000177	Polyamines	Alkaloids	Ornithine alkaloids
AFC000178	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000182	Amino acids and Peptides
AFC000183
AFC000185	Aminoacids	Amino acids and Peptides	Small peptides
AFC000186	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000187	Aminoacids	Amino acids and Peptides	Small peptides
AFC000188	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC000189	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000191	Alkaloids
AFC000192	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Fatty Acids and Conjugates;Small peptides
AFC000193	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000194	Fatty acids
AFC000195	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000197	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000198	Shikimates and Phenylpropanoids	Flavonoids
AFC000199	Menthane monoterpenoids;Monocyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000200	Branched fatty acids;Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000202	Acridone alkaloids	Alkaloids	Anthranilic acid alkaloids
AFC000203	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000204	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000205	Prenyl quinone meroterpenoids	Terpenoids	Meroterpenoids
AFC000206	Aminoacids	Amino acids and Peptides	Small peptides
AFC000207	Aporphine alkaloids;Isoquinoline alkaloids	Alkaloids	Tyrosine alkaloids
AFC000208	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000209	Naphthoquinones	Polyketides	Naphthalenes
AFC000210	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000211	Phenylethylamines	Alkaloids	Tyrosine alkaloids
AFC000212	Fatty alcohols;Monosaccharides	Carbohydrates;Fatty acids	Fatty acyls;Saccharides
AFC000213	Pyrimidine nucleosides	Carbohydrates	Nucleosides
AFC000214	Monosaccharides;Polysaccharides	Carbohydrates	Saccharides
AFC000215	Aminoacids	Amino acids and Peptides	Small peptides
AFC000223	Aminoacids	Amino acids and Peptides	Small peptides
AFC000225	Disaccharides	Carbohydrates	Saccharides
AFC000226	Pregnane steroids	Terpenoids	Steroids
AFC000227	Cholestane steroids	Terpenoids	Steroids
AFC000229	Monosaccharides	Carbohydrates	Saccharides
AFC000230	Pyrimidine nucleosides	Carbohydrates	Nucleosides
AFC000234	Aminoacids;Phenylethylamines	Alkaloids;Amino acids and Peptides	Small peptides;Tyrosine alkaloids
AFC000235	Phenylethanoids	Shikimates and Phenylpropanoids	Phenylethanoids (C6-C2)
AFC000237	Purine nucleotides	Carbohydrates	Nucleosides
AFC000240	Androstane steroids	Terpenoids	Steroids
AFC000244	Disaccharides	Carbohydrates	Saccharides
AFC000246	Aminoacids	Amino acids and Peptides	Small peptides
AFC000247	Pyrimidine nucleosides	Carbohydrates	Nucleosides
AFC000249	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000254	Aminoacids	Amino acids and Peptides	Small peptides
AFC000255	Fatty alcohols	Fatty acids	Fatty acyls
AFC000262	Shikimic acids and derivatives;Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000263	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000268	N-acyl amines	Fatty acids	Fatty amides
AFC000269	Cholane steroids	Terpenoids	Steroids
AFC000270	Menthane monoterpenoids	Terpenoids	Monoterpenoids
AFC000271	Monosaccharides	Carbohydrates	Saccharides
AFC000272	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000273	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000274	Carbohydrates
AFC000275	Wax monoesters	Fatty acids	Fatty esters
AFC000276
AFC000277	Aminoacids	Amino acids and Peptides	Small peptides
AFC000278	Shikimates and Phenylpropanoids
AFC000279	Disaccharides	Carbohydrates	Saccharides
AFC000281	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000282	Polysaccharides	Carbohydrates	Saccharides
AFC000283	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000284	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC000285	Lactones	Fatty acids	Fatty esters
AFC000286	Fatty alcohols	Fatty acids	Fatty acyls
AFC000287	Wax monoesters	Fatty acids	Fatty esters
AFC000288	Wax monoesters	Fatty acids	Fatty esters
AFC000289	Wax monoesters	Fatty acids	Fatty esters
AFC000290	Wax monoesters	Fatty acids	Fatty esters
AFC000294	4-pyrone derivatives	Polyketides	Cyclic polyketides
AFC000295	Wax monoesters	Fatty acids	Fatty esters
AFC000296	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000297	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000298	Fatty acids	Fatty acyls
AFC000299	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000300	Fatty alcohols	Fatty acids	Fatty acyls
AFC000301	Fatty alcohols	Fatty acids	Fatty acyls
AFC000302	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000303	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000304	Fatty alcohols	Fatty acids	Fatty acyls
AFC000305	Fatty alcohols	Fatty acids	Fatty acyls
AFC000306	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000307	Fatty alcohols	Fatty acids	Fatty acyls
AFC000308	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000310	Tropane alkaloids	Alkaloids	Ornithine alkaloids
AFC000311	Cinnamic acids and derivatives;Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1);Phenylpropanoids (C6-C3)
AFC000312	Aminosugars	Carbohydrates	Aminosugars and aminoglycosides
AFC000313	Fatty alcohols	Fatty acids	Fatty acyls
AFC000314	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000315	Wax monoesters	Fatty acids	Fatty esters
AFC000316	Wax monoesters	Fatty acids	Fatty esters
AFC000317	Fatty alcohols	Fatty acids	Fatty acyls
AFC000318	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000322	Aminoacids	Amino acids and Peptides	Small peptides
AFC000323	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000324	Apocarotenoids (β-)	Terpenoids	Apocarotenoids
AFC000325	Purine nucleotides	Carbohydrates	Nucleosides
AFC000327	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000328	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000329	Phenylethanoids	Shikimates and Phenylpropanoids	Phenylethanoids (C6-C2)
AFC000330	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000331	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000332	Monosaccharides	Carbohydrates	Saccharides
AFC000333	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000334	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000335	Hydrocarbons	Fatty acids	Fatty acyls
AFC000336
AFC000337	Unsaturated fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000338
AFC000339	Fatty alcohols	Fatty acids	Fatty acyls
AFC000340	Monocyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000341	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000342	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000343	Hydrocarbons	Fatty acids	Fatty acyls
AFC000344	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000347	Fatty alcohols	Fatty acids	Fatty acyls
AFC000348	Shikimic acids and derivatives;Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC000349	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000351	Dicarboxylic acids	Fatty acids	Fatty Acids and Conjugates
AFC000352	Hydrocarbons	Fatty acids	Fatty acyls
AFC000353	Hydrocarbons	Fatty acids	Fatty acyls
AFC000354	Fatty alcohols	Fatty acids	Fatty acyls
AFC000355	Hydrocarbons	Fatty acids	Fatty acyls
